order_count,distance_uncharge,distance_charge,max_dist,obj_uncharge,obj_charge,num_veh,battery_swapping,num_vehicles,scenario
38,16.59037182944561,16.59037182944561,5.501499372413536,16.59037182944561,16.59037182944561,4,0,4,1
31,15.65810145774044,15.65810145774044,5.7076447487790025,15.65810145774044,15.65810145774044,3,0,4,2
32,14.496655150558615,14.496655150558615,5.0781475635975,14.496655150558615,14.496655150558615,4,0,4,3
31,17.283224178855928,17.283224178855928,7.197866206022344,17.283224178855928,17.283224178855928,3,0,4,4
34,13.412141001901402,13.412141001901402,5.924124175127692,13.412141001901402,13.412141001901402,3,0,4,5
33,16.39897287086632,16.39897287086632,5.728653982377869,16.39897287086632,16.39897287086632,4,0,4,6
48,23.121963662122358,23.121963662122358,6.8160525432786105,23.121963662122358,23.121963662122358,4,0,4,7
53,25.463321610101033,25.463321610101033,6.650951943032548,30.463321610101033,30.463321610101033,4,0,4,8
41,17.59016429095157,17.59016429095157,6.347971839387577,17.59016429095157,17.59016429095157,4,0,4,9
42,19.710435955112033,19.710435955112033,6.9120894279642595,19.710435955112033,19.710435955112033,4,0,4,10
41,17.67555271104925,17.67555271104925,6.975142605043061,17.67555271104925,17.67555271104925,3,0,4,11
36,14.62714404662781,14.62714404662781,4.711331353225546,14.62714404662781,14.62714404662781,4,0,4,12
42,17.509327426149852,17.509327426149852,5.471577168280165,17.509327426149852,17.509327426149852,4,0,4,13
32,13.966302335118744,13.966302335118744,6.072022692532342,13.966302335118744,13.966302335118744,3,0,4,14
35,18.6355735891732,18.6355735891732,7.2311519007792,18.6355735891732,18.6355735891732,4,0,4,15
35,17.849656380876635,17.849656380876635,6.051167559372166,17.849656380876635,17.849656380876635,3,0,4,16
34,16.602995016590654,16.602995016590654,5.930460312923311,16.602995016590654,16.602995016590654,4,0,4,17
39,19.020369219680116,19.020369219680116,6.716151341543736,19.020369219680116,19.020369219680116,4,0,4,18
34,14.976688580411848,14.976688580411848,6.755844631960929,14.976688580411848,14.976688580411848,3,0,4,19
37,16.49704412989176,16.49704412989176,6.264206444878024,16.49704412989176,16.49704412989176,3,0,4,20
41,17.5921501982179,17.5921501982179,6.391069009656133,17.5921501982179,17.5921501982179,4,0,4,21
33,12.585528850336166,12.585528850336166,4.76056271515031,12.585528850336166,12.585528850336166,3,0,4,22
35,18.717563100401403,18.717563100401403,6.4338598431655205,18.717563100401403,18.717563100401403,4,0,4,23
33,15.386801421700822,15.386801421700822,4.622068052742119,15.386801421700822,15.386801421700822,4,0,4,24
38,15.776353039134055,15.776353039134055,6.527580871661675,15.776353039134055,15.776353039134055,3,0,4,25
43,17.925164974461584,17.925164974461584,7.158624032211964,17.925164974461584,17.925164974461584,4,0,4,26
47,19.050736948065666,19.050736948065666,6.237875775162489,19.050736948065666,19.050736948065666,4,0,4,27
37,15.786921346638996,15.786921346638996,4.700072079237452,15.786921346638996,15.786921346638996,4,0,4,28
48,20.0562205624666,20.0562205624666,6.148101706289536,20.0562205624666,20.0562205624666,4,0,4,29
35,15.696683112331764,15.696683112331764,4.962640585581668,15.696683112331764,15.696683112331764,4,0,4,30
45,22.271135993637145,22.271135993637145,6.288559285172805,22.271135993637145,22.271135993637145,4,0,4,31
41,17.12831222737271,17.12831222737271,5.732401481352605,17.12831222737271,17.12831222737271,4,0,4,32
41,18.7086364596667,18.7086364596667,7.260353933910796,18.7086364596667,18.7086364596667,4,0,4,33
47,19.621316191730774,19.621316191730774,7.470222575714269,19.621316191730774,19.621316191730774,4,0,4,34
43,19.53235798526104,19.53235798526104,7.094766177439198,19.53235798526104,19.53235798526104,4,0,4,35
39,18.127519977133485,18.127519977133485,6.154700684752757,18.127519977133485,18.127519977133485,3,0,4,36
42,18.11131209067071,18.11131209067071,5.565524997825197,18.11131209067071,18.11131209067071,4,0,4,37
36,17.58104875290492,17.58104875290492,6.22598518647396,17.58104875290492,17.58104875290492,4,0,4,38
36,17.479813463904456,17.53846545788957,8.553849404103545,17.479813463904456,17.53846545788957,4,1,4,39
29,12.55165595834317,12.55165595834317,5.74078007133359,12.55165595834317,12.55165595834317,3,0,4,40
40,19.038354853542447,19.038354853542447,6.482534455118247,19.038354853542447,19.038354853542447,4,0,4,41
31,16.279786744876784,16.279786744876784,7.851065654243356,16.279786744876784,16.279786744876784,3,0,4,42
28,14.030226055401592,14.030226055401592,6.251764698572085,14.030226055401592,14.030226055401592,3,0,4,43
34,14.687765170815364,14.687765170815364,5.578068649259944,14.687765170815364,14.687765170815364,3,0,4,44
39,17.416721761715984,17.416721761715984,5.835561783091205,17.416721761715984,17.416721761715984,4,0,4,45
41,22.20827233524302,22.20827233524302,7.469912510718681,22.20827233524302,22.20827233524302,4,0,4,46
41,15.078451414865723,15.078451414865723,5.647506431207825,15.078451414865723,15.078451414865723,4,0,4,47
31,15.400652441373484,15.400652441373484,6.041837647731369,15.400652441373484,15.400652441373484,3,0,4,48
39,16.274109262182012,16.274109262182012,4.578241390880733,16.274109262182012,16.274109262182012,4,0,4,49
42,21.48599674400686,21.48599674400686,6.799240061143079,21.48599674400686,21.48599674400686,4,0,4,50
44,17.46966396162402,17.46966396162402,6.288761231312213,17.46966396162402,17.46966396162402,4,0,4,51
45,19.0522736028434,19.0522736028434,6.268618191308238,19.0522736028434,19.0522736028434,4,0,4,52
34,16.19642834950974,16.19642834950974,5.535641318801497,16.19642834950974,16.19642834950974,4,0,4,53
44,18.802908645780256,18.802908645780256,5.277076316999515,18.802908645780256,18.802908645780256,4,0,4,54
44,17.358330744280263,17.358330744280263,5.292851728037579,17.358330744280263,17.358330744280263,4,0,4,55
38,18.924938794785444,18.924938794785444,5.903221817639531,18.924938794785444,18.924938794785444,4,0,4,56
47,19.064031839139027,19.064031839139027,6.499195943678775,19.064031839139027,19.064031839139027,4,0,4,57
43,19.86724371481477,19.86724371481477,5.770116942349038,19.86724371481477,19.86724371481477,4,0,4,58
43,19.060872158773165,19.060872158773165,6.271933836231003,19.060872158773165,19.060872158773165,4,0,4,59
44,18.05303975542769,18.05303975542769,7.710987112729441,18.05303975542769,18.05303975542769,3,0,4,60
55,27.729256092559687,27.729256092559687,7.451227832527621,52.72925609255969,52.72925609255969,4,0,4,61
47,16.714738961313333,16.714738961313333,5.853526290280487,16.714738961313333,16.714738961313333,4,0,4,62
44,20.31324455988169,20.31324455988169,6.748518026023091,20.31324455988169,20.31324455988169,4,0,4,63
32,16.765346663849776,16.765346663849776,6.746005816048816,16.765346663849776,16.765346663849776,3,0,4,64
43,19.47463432214448,19.47463432214448,5.9600792871611965,19.47463432214448,19.47463432214448,4,0,4,65
38,13.35781749039979,13.35781749039979,3.944597164054829,13.35781749039979,13.35781749039979,4,0,4,66
46,20.03402574968621,20.03402574968621,7.775038835796041,20.03402574968621,20.03402574968621,4,0,4,67
30,13.699318975480633,13.699318975480633,6.843227037170519,13.699318975480633,13.699318975480633,3,0,4,68
37,19.320366734189175,19.320366734189175,6.8878552698621816,19.320366734189175,19.320366734189175,4,0,4,69
42,20.540855878807463,20.540855878807463,5.956656766127731,20.540855878807463,20.540855878807463,4,0,4,70
50,22.80126697901003,22.80126697901003,6.645365802130064,22.80126697901003,22.80126697901003,4,0,4,71
43,21.59498800750618,21.59498800750618,7.4507531037568215,21.59498800750618,21.59498800750618,4,0,4,72
41,16.28154957933066,16.28154957933066,6.16427603862453,16.28154957933066,16.28154957933066,4,0,4,73
34,16.387986379509616,16.387986379509616,6.949008289112308,16.387986379509616,16.387986379509616,3,0,4,74
46,22.118749300955674,22.118749300955674,7.473895509960605,22.118749300955674,22.118749300955674,4,0,4,75
47,22.37498353362248,22.37498353362248,6.760491257285596,22.37498353362248,22.37498353362248,4,0,4,76
38,19.89799669429704,19.89799669429704,5.5853927697068375,19.89799669429704,19.89799669429704,4,0,4,77
47,21.538246113313537,21.538246113313537,6.630433593895634,21.538246113313537,21.538246113313537,4,0,4,78
35,19.494327488287126,19.494327488287126,7.383390706749351,19.494327488287126,19.494327488287126,4,0,4,79
47,23.268056470354306,23.268056470354306,6.657402413411709,23.268056470354306,23.268056470354306,4,0,4,80
49,23.78636646078517,23.78636646078517,7.599277964880015,23.78636646078517,23.78636646078517,4,0,4,81
42,19.624528067406512,19.624528067406512,7.68198826848273,19.624528067406512,19.624528067406512,4,0,4,82
55,26.433992816931163,26.433992816931163,7.8068754893310315,26.433992816931163,26.433992816931163,4,0,4,83
48,19.493273640125768,19.493273640125768,5.651340300992954,19.493273640125768,19.493273640125768,4,0,4,84
48,23.277607590689353,23.277607590689353,8.071591459853106,23.277607590689353,23.277607590689353,4,1,4,85
34,16.063201063790125,16.063201063790125,6.360821827581492,16.063201063790125,16.063201063790125,4,0,4,86
46,19.804596294132995,19.804596294132995,6.123787391104426,19.804596294132995,19.804596294132995,4,0,4,87
35,15.628317198354607,15.628317198354607,5.2585973131842865,15.628317198354607,15.628317198354607,4,0,4,88
35,18.152928529707832,18.152928529707832,5.096971429281569,18.152928529707832,18.152928529707832,4,0,4,89
27,14.30046043719786,14.30046043719786,4.948593833496962,14.30046043719786,14.30046043719786,3,0,4,90
38,16.59037182944561,16.59037182944561,5.501499372413536,16.59037182944561,16.59037182944561,4,0,5,1
31,15.65810145774044,15.65810145774044,5.7076447487790025,15.65810145774044,15.65810145774044,3,0,5,2
32,14.496655150558615,14.496655150558615,5.0781475635975,14.496655150558615,14.496655150558615,4,0,5,3
31,17.283224178855928,17.283224178855928,7.197866206022344,17.283224178855928,17.283224178855928,3,0,5,4
34,13.412141001901402,13.412141001901402,5.924124175127692,13.412141001901402,13.412141001901402,3,0,5,5
33,16.39897287086632,16.39897287086632,5.728653982377869,16.39897287086632,16.39897287086632,4,0,5,6
48,20.558329501534793,20.558329501534793,5.8305597325611735,20.558329501534793,20.558329501534793,5,0,5,7
53,20.619324070737072,20.619324070737072,6.1305162364696075,20.619324070737072,20.619324070737072,5,0,5,8
41,17.59016429095157,17.59016429095157,6.347971839387577,17.59016429095157,17.59016429095157,4,0,5,9
42,19.710435955112033,19.710435955112033,6.9120894279642595,19.710435955112033,19.710435955112033,4,0,5,10
41,17.67555271104925,17.67555271104925,6.975142605043061,17.67555271104925,17.67555271104925,3,0,5,11
36,14.62714404662781,14.62714404662781,4.711331353225546,14.62714404662781,14.62714404662781,4,0,5,12
42,17.509327426149852,17.509327426149852,5.471577168280165,17.509327426149852,17.509327426149852,4,0,5,13
32,13.966302335118744,13.966302335118744,6.072022692532342,13.966302335118744,13.966302335118744,3,0,5,14
35,18.6355735891732,18.6355735891732,7.2311519007792,18.6355735891732,18.6355735891732,4,0,5,15
35,17.849656380876635,17.849656380876635,6.051167559372166,17.849656380876635,17.849656380876635,3,0,5,16
34,16.602995016590654,16.602995016590654,5.930460312923311,16.602995016590654,16.602995016590654,4,0,5,17
39,19.020369219680116,19.020369219680116,6.716151341543736,19.020369219680116,19.020369219680116,4,0,5,18
34,14.976688580411848,14.976688580411848,6.755844631960929,14.976688580411848,14.976688580411848,3,0,5,19
37,16.49704412989176,16.49704412989176,6.264206444878024,16.49704412989176,16.49704412989176,3,0,5,20
41,17.5921501982179,17.5921501982179,6.391069009656133,17.5921501982179,17.5921501982179,4,0,5,21
33,12.585528850336166,12.585528850336166,4.76056271515031,12.585528850336166,12.585528850336166,3,0,5,22
35,18.717563100401403,18.717563100401403,6.4338598431655205,18.717563100401403,18.717563100401403,4,0,5,23
33,15.386801421700822,15.386801421700822,4.622068052742119,15.386801421700822,15.386801421700822,4,0,5,24
38,15.776353039134055,15.776353039134055,6.527580871661675,15.776353039134055,15.776353039134055,3,0,5,25
43,18.479106963102886,18.479106963102886,6.802376129344949,18.479106963102886,18.479106963102886,5,0,5,26
47,19.050736948065666,19.050736948065666,6.237875775162489,19.050736948065666,19.050736948065666,4,0,5,27
37,15.786921346638996,15.786921346638996,4.700072079237452,15.786921346638996,15.786921346638996,4,0,5,28
48,20.619107833024717,20.619107833024717,5.593878857171262,20.619107833024717,20.619107833024717,5,0,5,29
35,15.696683112331764,15.696683112331764,4.962640585581668,15.696683112331764,15.696683112331764,4,0,5,30
45,20.72641020542583,20.72641020542583,5.338507711235662,20.72641020542583,20.72641020542583,5,0,5,31
41,17.12831222737271,17.12831222737271,5.732401481352605,17.12831222737271,17.12831222737271,4,0,5,32
41,20.253331800613918,20.253331800613918,6.988181490548921,20.253331800613918,20.253331800613918,4,0,5,33
47,20.0896765133533,20.0896765133533,7.1751612462251595,20.0896765133533,20.0896765133533,4,0,5,34
43,19.53235798526104,19.53235798526104,7.094766177439198,19.53235798526104,19.53235798526104,4,0,5,35
39,18.127519977133485,18.127519977133485,6.154700684752757,18.127519977133485,18.127519977133485,3,0,5,36
42,18.11131209067071,18.11131209067071,5.565524997825197,18.11131209067071,18.11131209067071,4,0,5,37
36,17.58104875290492,17.58104875290492,6.22598518647396,17.58104875290492,17.58104875290492,4,0,5,38
36,17.479813463904456,17.53846545788957,8.553849404103545,17.479813463904456,17.53846545788957,4,1,5,39
29,12.55165595834317,12.55165595834317,5.74078007133359,12.55165595834317,12.55165595834317,3,0,5,40
40,19.038354853542447,19.038354853542447,6.482534455118247,19.038354853542447,19.038354853542447,4,0,5,41
31,16.279786744876784,16.279786744876784,7.851065654243356,16.279786744876784,16.279786744876784,3,0,5,42
28,14.030226055401592,14.030226055401592,6.251764698572085,14.030226055401592,14.030226055401592,3,0,5,43
34,14.687765170815364,14.687765170815364,5.578068649259944,14.687765170815364,14.687765170815364,3,0,5,44
39,17.416721761715984,17.416721761715984,5.835561783091205,17.416721761715984,17.416721761715984,4,0,5,45
41,22.20827233524302,22.20827233524302,7.469912510718681,22.20827233524302,22.20827233524302,4,0,5,46
41,15.078451414865723,15.078451414865723,5.647506431207825,15.078451414865723,15.078451414865723,4,0,5,47
31,15.400652441373484,15.400652441373484,6.041837647731369,15.400652441373484,15.400652441373484,3,0,5,48
39,16.274109262182012,16.274109262182012,4.578241390880733,16.274109262182012,16.274109262182012,4,0,5,49
42,18.819746604197995,18.819746604197995,4.359945692022817,18.819746604197995,18.819746604197995,5,0,5,50
44,17.46966396162402,17.46966396162402,6.288761231312213,17.46966396162402,17.46966396162402,4,0,5,51
45,19.0522736028434,19.0522736028434,6.268618191308238,19.0522736028434,19.0522736028434,4,0,5,52
34,16.19642834950974,16.19642834950974,5.535641318801497,16.19642834950974,16.19642834950974,4,0,5,53
44,18.802908645780256,18.802908645780256,5.277076316999515,18.802908645780256,18.802908645780256,4,0,5,54
44,19.4835187095331,19.4835187095331,5.9757465793430855,19.4835187095331,19.4835187095331,5,0,5,55
38,18.842628033852385,18.842628033852385,5.759681608609741,18.842628033852385,18.842628033852385,4,0,5,56
47,19.064031839139027,19.064031839139027,6.499195943678775,19.064031839139027,19.064031839139027,4,0,5,57
43,18.474073222563288,18.474073222563288,5.9082499658245,18.474073222563288,18.474073222563288,5,0,5,58
43,20.58005020691712,20.58005020691712,5.170921620043,20.58005020691712,20.58005020691712,5,0,5,59
44,18.05303975542769,18.05303975542769,7.710987112729441,18.05303975542769,18.05303975542769,3,0,5,60
55,26.373819081113997,26.373819081113997,6.717719686331042,26.373819081113997,26.373819081113997,5,0,5,61
47,16.714738961313333,16.714738961313333,5.853526290280487,16.714738961313333,16.714738961313333,4,0,5,62
44,20.58774404414232,20.58774404414232,5.917576770601613,20.58774404414232,20.58774404414232,5,0,5,63
32,16.765346663849776,16.765346663849776,6.746005816048816,16.765346663849776,16.765346663849776,3,0,5,64
43,19.47463432214448,19.47463432214448,5.9600792871611965,19.47463432214448,19.47463432214448,4,0,5,65
38,13.35781749039979,13.35781749039979,3.944597164054829,13.35781749039979,13.35781749039979,4,0,5,66
46,19.688695365802133,19.688695365802133,7.604232791082058,19.688695365802133,19.688695365802133,4,0,5,67
30,13.699318975480633,13.699318975480633,6.843227037170519,13.699318975480633,13.699318975480633,3,0,5,68
37,19.320366734189175,19.320366734189175,6.8878552698621816,19.320366734189175,19.320366734189175,4,0,5,69
42,19.120900493369952,19.120900493369952,5.9451097965625666,19.120900493369952,19.120900493369952,4,0,5,70
50,21.055982576708463,21.055982576708463,6.166132700361639,21.055982576708463,21.055982576708463,5,0,5,71
43,21.59498800750618,21.59498800750618,7.4507531037568215,21.59498800750618,21.59498800750618,4,0,5,72
41,17.666437794375337,17.666437794375337,5.810704388134267,17.666437794375337,17.666437794375337,4,0,5,73
34,16.387986379509616,16.387986379509616,6.949008289112308,16.387986379509616,16.387986379509616,3,0,5,74
46,19.047942013496215,19.047942013496215,6.209390184796251,19.047942013496215,19.047942013496215,5,0,5,75
47,22.37498353362248,22.37498353362248,6.760491257285596,22.37498353362248,22.37498353362248,4,0,5,76
38,19.89799669429704,19.89799669429704,5.5853927697068375,19.89799669429704,19.89799669429704,4,0,5,77
47,24.037744044142322,24.037744044142322,7.987407881491793,24.037744044142322,24.037744044142322,5,0,5,78
35,19.494327488287126,19.494327488287126,7.383390706749351,19.494327488287126,19.494327488287126,4,0,5,79
47,22.85106006188873,22.85106006188873,6.771252190338897,22.85106006188873,22.85106006188873,5,0,5,80
49,24.08147004362037,24.08147004362037,7.301849205264271,24.08147004362037,24.08147004362037,5,0,5,81
42,19.624528067406512,19.624528067406512,7.68198826848273,19.624528067406512,19.624528067406512,4,0,5,82
55,26.583651683298744,26.583651683298744,7.171713870282228,26.583651683298744,26.583651683298744,5,0,5,83
48,19.493273640125768,19.493273640125768,5.651340300992954,19.493273640125768,19.493273640125768,4,0,5,84
48,21.89011147426896,21.89011147426896,7.197656803410095,21.89011147426896,21.89011147426896,5,0,5,85
34,16.063201063790125,16.063201063790125,6.360821827581492,16.063201063790125,16.063201063790125,4,0,5,86
46,19.804596294132995,19.804596294132995,6.123787391104426,19.804596294132995,19.804596294132995,4,0,5,87
35,15.628317198354607,15.628317198354607,5.2585973131842865,15.628317198354607,15.628317198354607,4,0,5,88
35,18.152928529707832,18.152928529707832,5.096971429281569,18.152928529707832,18.152928529707832,4,0,5,89
27,14.30046043719786,14.30046043719786,4.948593833496962,14.30046043719786,14.30046043719786,3,0,5,90
